,Number Particles,Inertia,Cognition,Social,Max Velocity,Iteration,Avg X Position,Avg Y Position,Avg Fitness,% Within Error,Best X Position,Best Y Position,Best Fitness,Error
25311,70,0.4,5.0,3.0,5,2000.0,19.74442,7.1539399999999995,96.03889000000001,0.0,20.00167,6.996810000000001,99.9949,2.2450200000000002
25312,200,0.3,0.2,0.5,5,37.0,19.99975,6.99988,99.97913,98.5,20.0,7.0,100.0,0.0599
25313,100,0.4,2.0,2.5,10,2000.0,19.73283,7.366510000000001,95.28716999999999,5.0,19.99982,6.99989,99.9997,3.06588
25314,30,0.6,2.0,5.0,2,2000.0,19.99986,6.66712,98.34061,3.33333,20.00311,7.00002,99.9956,0.9645799999999999
25315,30,1.0,2.5,2.0,10,2000.0,21.95296,8.83085,87.89119000000001,3.33333,19.9845,7.00926,99.97447,8.35308
25316,5,0.1,2.0,5.0,1,2000.0,20.04234,6.9718800000000005,99.50038,0.0,20.0,7.0012,99.99831,0.2552
25317,30,0.3,5.0,3.0,10,2000.0,20.02544,7.42944,92.13059,0.0,20.007179999999998,6.9896,99.98212,4.52795
25318,5,0.1,2.5,5.0,50,2000.0,16.94819,6.26589,68.94918,0.0,19.7511,7.16875,99.57474,15.6436
25319,200,0.8,2.0,3.5,50,2000.0,21.95113,3.0449,54.36124,0.0,20.00093,7.033869999999999,99.95208000000001,27.66808
25320,10,0.1,0.5,4.0,2,2000.0,19.86277,7.131939999999999,98.41512,0.0,20.0043,7.00148,99.99356,0.82163
25321,2,0.6,2.0,1.0,1,81.0,-11.0,7.24878,56.15795,0.0,-11.0,7.224,56.15823,0.02478
25322,70,0.3,5.0,3.5,2,2000.0,20.0753,7.11733,98.37693,1.4285700000000001,20.00062,7.00206,99.99696,0.89597
25323,70,0.4,1.0,0.2,1,124.0,19.98101,6.99096,99.96703000000001,97.14286,20.0,7.0,100.0,0.07767
25324,70,0.2,2.0,1.0,1,135.0,19.98049,7.001060000000001,99.95509,95.71428,20.0,7.0,100.0,0.09724
25325,30,0.2,3.5,0.5,50,2000.0,20.72318,9.04898,62.14082,3.33333,20.0,7.0,100.0,20.69085
25326,1000,0.9,3.5,3.0,2,2000.0,20.02147,7.004010000000001,98.16496,2.8,20.00072,6.99985,99.99896,1.10784
25327,200,1.0,4.0,2.5,50,2000.0,22.71087,4.0925400000000005,48.93462,0.0,20.0118,7.015680000000001,99.97225,32.936170000000004
25328,200,0.1,4.0,0.2,50,53.0,19.953139999999998,6.98797,99.87297,90.0,20.0,7.0,100.0,0.09944
25329,70,0.4,3.5,3.5,50,2000.0,22.03256,7.28914,62.48214,0.0,19.98933,7.04604,99.93316999999999,20.90952
25330,2,0.5,3.5,3.0,1,125.0,1.40913,9.0914,73.54271,0.0,1.4517,9.08492,73.60355,0.04306
25331,100,0.2,2.5,3.5,50,2000.0,23.51537,6.663689999999999,63.14106999999999,0.0,19.948,7.0716,99.87486,19.75189
25332,100,0.9,0.2,0.2,50,162.0,19.99452,7.00241,99.90155,93.0,19.99981,6.999969999999999,99.99973,0.08614
25333,5,0.9,2.0,3.0,10,2000.0,22.079710000000002,8.864139999999999,93.69917,0.0,20.00058,7.02643,99.96261,3.3322
25334,1000,0.1,0.2,3.0,5,2000.0,19.95405,7.02773,96.11986999999999,0.4,19.99832,6.994280000000001,99.99158,2.0485700000000002
25335,70,0.7,5.0,4.0,10,2000.0,20.1042,7.68888,90.3435,0.0,19.99739,6.998489999999999,99.99574,5.5416
25336,2,1.0,2.0,3.0,1,276.0,20.09795,7.02406,99.84071999999999,100.0,20.00451,7.01238,99.98137,0.08582000000000001
25337,10,0.8,1.0,3.5,2,2000.0,20.53963,7.277010000000001,98.67047,20.0,19.99615,7.00471,99.99139,0.89189
25338,2,1.0,0.2,2.5,50,2000.0,41.217890000000004,29.76567,54.120830000000005,0.0,20.033089999999998,7.0190600000000005,99.94599000000001,24.72981
25339,5,0.2,0.5,1.0,5,28.0,19.93981,6.916010000000001,99.84355,80.0,19.95502,6.979760000000001,99.93024,0.08419
25340,5,0.4,3.5,2.0,5,2000.0,20.21334,7.37385,96.94757,0.0,19.99341,6.9851600000000005,99.97704,1.7282799999999998
25341,200,0.1,5.0,0.2,5,59.0,19.9525,6.9857,99.8895,92.5,20.0,7.0,100.0,0.09742999999999999
25342,5,0.1,3.0,5.0,1,2000.0,20.13058,7.01197,99.2589,0.0,20.005020000000002,6.99792,99.99231,0.3742
25343,100,0.2,0.2,5.0,2,2000.0,19.77244,7.0138300000000005,98.16311,2.0,20.00115,7.00016,99.99835,0.9710700000000001
25344,30,0.6,3.0,5.0,2,2000.0,19.62106,7.028410000000001,97.80793,0.0,20.00356,7.005,99.99132,1.23801
25345,70,0.6,2.0,0.2,50,2000.0,19.43607,6.3059,94.64896999999999,64.28571,20.0,7.0,100.0,6.8021199999999995
25346,70,0.4,4.0,3.0,5,2000.0,19.95682,6.79438,96.08615,1.4285700000000001,19.99715,7.000319999999999,99.99594,2.1555
25347,2,0.3,0.2,0.2,2,57.0,-11.071,7.806719999999999,56.043980000000005,0.0,-11.06162,7.895160000000001,56.054,0.08893
25348,30,0.6,1.0,1.0,5,51.0,20.01129,6.9965399999999995,99.90409,86.66666,19.99974,6.999619999999999,99.99934,0.0888
25349,100,0.1,4.0,5.0,2,2000.0,20.20974,6.91379,98.39491,1.0,19.99909,7.00117,99.9979,0.8519100000000001
25350,30,0.3,0.5,0.2,2,75.0,19.9566,6.98671,99.93171,93.33334,19.996570000000002,6.999410000000001,99.99508,0.07646
25351,70,0.6,0.5,2.0,1,550.0,19.999370000000003,7.01043,99.92833,95.71428,20.0,7.0,100.0,0.07017000000000001
25352,70,0.5,3.0,0.5,1,2000.0,20.002010000000002,7.0123,99.21701,14.285720000000001,20.0004,6.99989,99.99941,0.43791
25353,1000,0.1,0.2,0.2,5,57.0,19.95497,6.98337,99.88161,92.2,20.00071,6.99942,99.9987,0.09971000000000001
25354,200,0.9,2.0,0.2,50,2000.0,15.84924,5.2224699999999995,37.24511,0.0,20.02159,6.988360000000001,99.96531999999999,39.52108
25355,200,0.6,5.0,3.0,2,2000.0,20.06569,6.944839999999999,98.22523000000001,3.5,20.00021,6.99931,99.99898,1.03843
25356,200,0.4,3.0,3.5,2,2000.0,19.93755,6.97658,98.54576999999999,6.0,20.0,7.0,100.0,0.8096399999999999
25357,30,0.9,3.5,2.5,10,2000.0,18.35275,6.94003,89.53071,0.0,19.99168,6.98654,99.97762,6.2960400000000005
25358,2,0.3,0.2,4.0,5,222.0,19.95867,6.900810000000001,99.83922,100.0,19.93215,6.932360000000001,99.86451,0.041210000000000004
25359,100,0.8,0.2,0.2,50,64.0,19.99589,7.00002,99.90122,94.0,19.99984,7.00012,99.99971,0.08045
25360,70,0.4,2.5,3.5,50,2000.0,17.71432,5.5006699999999995,64.05898,0.0,20.02303,7.00369,99.96701,19.90456
25361,200,0.7,5.0,4.0,5,2000.0,19.7799,6.96807,95.29047,0.0,19.99839,7.003610000000001,99.99441,2.8148
25362,100,0.2,3.5,3.5,50,2000.0,17.080479999999998,7.8195,61.1903,0.0,19.97812,6.97049,99.94804,20.82255
25363,2,0.4,2.0,2.5,2,62.0,-1.39002,6.6295399999999995,69.74513,0.0,-1.3861700000000001,6.720560000000001,69.75281,0.0911
25364,30,0.1,2.5,2.5,1,2000.0,19.971239999999998,7.10203,99.29948,0.0,19.99999,6.99932,99.99904000000001,0.3612
25365,70,0.8,2.0,4.0,1,2000.0,19.91665,7.054710000000001,98.95926999999999,2.8571400000000002,19.998520000000003,6.9974300000000005,99.9958,0.5954699999999999
25366,30,0.7,3.0,2.0,5,2000.0,19.91279,7.3503,95.46379,0.0,20.00272,7.004760000000001,99.99224,2.7814400000000004
25367,1000,0.6,2.0,2.5,5,2000.0,20.011779999999998,7.06118,96.92251999999999,4.9,20.0,7.0,100.0,1.92698
25368,70,0.5,4.0,4.0,2,2000.0,19.96185,7.0109,98.35376,0.0,19.99902,7.00086,99.99815,0.9123100000000001
25369,100,0.6,2.0,0.2,10,2000.0,19.83784,6.899610000000001,98.41364,68.0,20.0,7.0,100.0,1.8081
25370,200,0.9,2.0,3.5,50,2000.0,19.61309,5.44169,51.75248,0.0,19.99577,7.0115,99.98267,29.41125
25371,10,0.3,0.2,2.0,1,133.0,20.014570000000003,6.9977800000000006,99.9054,90.0,20.00003,6.9999,99.99985,0.08517000000000001
25372,5,0.4,2.5,5.0,2,2000.0,20.0198,6.89123,98.63425,0.0,20.00534,7.007280000000001,99.98722,0.72528
25373,200,0.9,4.0,0.5,5,2000.0,20.06326,7.524830000000001,94.09258,0.5,19.995,6.997319999999999,99.99198,3.50046
25374,1000,0.8,2.0,2.5,1,2000.0,20.0105,6.972460000000001,99.19054,17.2,19.99997,7.00007,99.99989000000001,0.49843999999999994
25375,2,0.1,4.0,4.0,2,89.0,11.23479,7.3913899999999995,87.59159,0.0,11.253680000000001,7.34358,87.62129,0.0514
25376,70,0.9,5.0,5.0,10,2000.0,19.98735,7.284,90.81979,0.0,19.9959,7.00232,99.99334,5.35268
25377,5,0.7,2.0,2.0,10,2000.0,16.5122,6.298690000000001,92.95961,0.0,19.99307,7.00017,99.9902,4.63068
